author,stars,comment
"m*****a",5,"Absorption:very good Skin Suitability:yes for combination and dry skin  Very good absorption, leaving my skin feels soft and moist. Also items were carefully wrapped  and fast service  Thanks 😊"
"v*****8",5,"Fast delivery and well-packaged. Item arrived in perfect condition. Thank you, seller! Very satisfied with the service and product."
"e*****1",5,"Absorption:Faster Skin Suitability:Suits on my oily skin, looks more glowing after applied it."
"n*****r",5,"Packaging ok, bagus. Memang moisturiser ni sesuai untuk muka saya. Jenis normal-dry skin."
"a*****a",5,"Skin Suitability:Sangat sesuai, all time favourite moisturiser Absorption:Menyerap dengan baik dalam kulit  Lurve sangat bila ada yg 100g"
"s*****2",5,"Absorption:fast Skin Suitability:ngam  Ok harga sangat2 murah compared with on shelves di watson or guardian. Which i can get 3 via online however make sure u buy from the authentic store. Tq"
"ieykarai18",5,"Texture:soft Skin Type:oily combination  Repeat kali ke 5-6 eh tpi mmg key moisturizer i love. Jerawat pon susah naik skin lebih lembut. Tpi mahal laaa hahahaha kena tunggu sale baru dot rm50 ngeh ngeh"
"ethanong905",5,"Absorption:good Skin Suitability:good  Item received in next day! First time try this moisturiser and thank you seller for fast delivery item!"
"l*****8",5,"Skin Suitability:suitable for acne skin Absorption:very moisture and fast absorb  Repeat order this moisturiser and serum! Best best ! Very suitable for my skin! Thank you Skintific got offer on shopee so I can save alot 🤩"
"nnuruljannah064",5,"Skin Suitability:sesuai untuk semua kulit Absorption:cepat meresap  Belikan untuk anak alhamdulillah sesuai  Beli masa live dpt hrg murah"
"7*****e",5,"Skin Suitability:Suitable Absorption:Good absorbed  Barang yg dioder sudah diterima dngn jayanya Terima kasih kepada penjual"
"ameens123",5,"Texture:Good Skin Type:Average  I cant feel any difference on my skin whether it is mosturised or not. But i can see a bit of improvement where there’s less flaky dry skin on my body till now. Im just utterly disappointed with shipping as the box looks quite crumpled/dented at every edges of the unit box. Luckily it doesn’t affect the product 😔😔 Seller is good but the delivery/sorting team really done their job very poor especially in handling their customer’s item with care 🫩 Hope u can improve on this since u feel the same way if this is ur product. Anyway, hope i can help to improve my skin day by day"
"l*****c",5,"My OG moisturiser. Always the best for my skin. Also buy here got affordable price"
"g*****i",5,"Absorption:good.less oily Skin Suitability:good  Ok sgt for those yg ada masalah skin barrier.tp kena rajin la pakai selalu"
"ejc24",5,"Absorption:2-3 minutes  I’ve repurchased this. I consider this one of their hero products. Fantastic texture, skin-finish (not tacky, not too dewy) and decent hydration lock in. I don’t suffer from skin redness/ rashness so I can’t tell if this does anything to calm skin (other then being a well designed gel moisturiser). It does have a subtle aroma, I see citrus essential oils listed at the bottom of the ingredients list. The aroma goes away quickly, and smells like natural essential oils listed. Still for folks with sensitive skin, please take note if the added fragrance as essential oils are an irritant. The packaging is also nicely designed with a storage compartment for the spatula."
"a*****e",5,"Skin Suitability:dry skin Absorption:great  dah repeat twice, for now okay for my skin melembapkan"
"d*****a",5,"Skin Type:👍🏻 Absorption:👍🏻🫰🏼  Received good condition..fast delivery and good service.thanks sellers 👏🏻👍🏻🥰"
"p*****g",5,"Well wrapped. Item delivered as described and received in good condition. Easy absorption."
"c*****e",5,"Absorption:very good Skin Suitability:I love the texture. very suitable for my skin  Delivery was fast! Thanks seller."
"a*****i",5,"Texture:Rasa ringan bila pakai cuma serapan tu lambat sikit Skin Type:Skin i jenis combination  So far okay takde effect yg tak okay dgn skin. Dekat area dry skin dah getting better"
"r*****n",5,"Skin Suitability:Baik Absorption:Baik  Skintific mmg best.. Sesuai dgn kulit saya.. Mmg berkesan.. Mcm2 dah cuba.. Ni cuba yg lain plk.. Tq seller"
"hasnolwss89",5,"Absorption:Penyerapan cepat Skin Suitability:Kulit kering dan berminyak  Second time beli.. dan berpuas hati dengan produk ni.. servis seller pun cepat.. penghantaran pun pantas.. semalam order hari ni sampai.."
"m*****a",5,"Absorption:very good Skin Suitability:combination dry  Bought many times, skin feels soft and moisture. Fast delivery & very efficiently. Thanks 😊😊😊😊"
